date,G 2,G 3,G 4,G 6,G 7,G 8,G 9,G 10,G 11,G 12,G 13,G 15,G 16,G 18,G 19,G 20,G 21,G 22,G 23,G 24
2022-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-27,0.018000000000000016,0.0,0.0,0.0,0.0,0.0,0.019999999999999574,0.017999999999999784,0.0,0.009999999999999787,0.0,0.0,0.004999999999999893,0.0,0.0,0.0,0.0,0.0,0.004999999999999893,0.0
2022-01-28,0.0,0.0,0.0050000000000001155,0.01100000000000012,0.004999999999999893,0.0,0.019999999999999574,0.0,0.004999999999999893,0.01,0.0,0.0,0.0,0.0,0.005999999999999783,0.009999999999999787,0.0,0.0,0.0,0.0
2022-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-30,0.01200000000000001,0.026000000000000023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-1,0.2280000000000002,0.17399999999999993,0.2290000000000001,0.2400000000000002,0.2140000000000002,,0.31000000000000005,0.23700000000000054,0.238,0.14000000000000012,0.05600000000000005,0.22200000000000042,0.3270000000000002,0.40700000000000003,0.351,0.2670000000000001,0.15900000000000003,0.28600000000000003,0.5069999999999997,0.316
2022-02-2,0.2160000000000002,0.27199999999999913,0.5009999999999999,0.621,0.246,,0.4600000000000002,0.20299999999999985,0.49699999999999955,0.2500000000000002,0.238,0.1419999999999999,0.32699999999999996,0.8300000000000001,0.6440000000000003,0.2839999999999998,0.6859999999999999,0.13200000000000012,0.7240000000000002,0.44500000000000006
2022-02-3,0.04800000000000004,0.0,0.0,0.4009999999999998,0.02000000000000135,,0.029999999999999805,0.016000000000000014,0.021000000000000015,0.010000000000000231,0.02200000000000024,0.0,0.01200000000000001,0.04800000000000004,0.06600000000000038,0.006000000000000227,0.19200000000000017,0.0,0.08499999999999996,0.016
2022-02-4,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-5,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-6,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-7,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-8,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-9,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-10,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-11,0.2160000000000002,0.236,0.19799999999999995,0.3270000000000004,0.19799999999999995,,0.34999999999999964,0.2679999999999998,0.30200000000000005,0.17999999999999972,0.2490000000000001,0.27000000000000013,0.2829999999999997,0.375,0.3740000000000001,0.22899999999999965,0.22999999999999998,0.3560000000000003,0.31400000000000006,0.446
2022-02-12,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-13,0.01200000000000001,0.0,0.009999999999999787,0.020999999999999908,0.0,,0.009999999999999787,0.021999999999999797,0.0,0.040000000000000695,0.01499999999999968,0.004999999999999893,0.0,0.0,0.005999999999999783,0.0,0.07599999999999962,0.006,0.006000000000000227,0.0
2022-02-14,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.010000000000000231,0.0,0.0,0.0,0.0,0.0,0.004999999999999893,0.0,0.0,0.006000000000000227,0.0
